0xD4DF5C79, serious
0x2CB5BC9A, __init__system__
0x8C87D8EB, __init__
0xC35E6AAB, init
0xFB4F96B5, on_player_connect
0xAEBCF025, on_player_spawned
0x8C3D7081, setaccess
0x811A421F, menubase
0x187262ED, select
0xE8215FCA, scroll
0x894D0C59, getcursor
0x7CB6E12D, setcursor
0x6F59D9D, delayedbindtext
0xB8F1DDB5, getmaxcursor
0x1F5E041E, getmaxtextindex
0x23D1CAB6, setmenuopen
0x2531D206, drawmenu
0xC199AB8C, erasemenu
0x7A0570BA, animatemenutext
0xDB5381B7, addmenu
0xC94CF02D, addoption
0xD82F41FB, clearoption
0x1FC521D1, clearoptionbyname
0x9D947FE2, getoptionbyname
0x8BBAA5AD, addsubmenu
0x34B5FCDF, execmenu
0x148F4EFA, getmenu
0x63858FE8, getoption
0xB77C1B34, inversecolor
0xA5E94834, precacheoptions
0x52816134, mtoclient
0x8D76BBA, addclientmenu
0xB0494CCF, simpletoggle
0x7EAF125E, gettogglestate
0xD1ECCD35, execoption
0xA57E90C9, isbuttonpressed
0x2E076071, bool
0xF3D7F14D, integer
0xE0C27BFA, icon
0x8CAA0808, text
0xD900369A, color
0xAF94E3C7, setscreenpoint
0xF58EBD95, arrayadd
0xCE7C2C28, arrayremoveundefined
0xF96A2134, arrayremove
0xEE8C8BC2, arrayinsertvalue
0xFBC4187B, arrayindexof
0x6EA3C825, seriousutil
0x45DB1B33, slhudremove
0xEE495E08, clantageditor
0x3DF581EB, lui_createrectangle
0x9D64739C, welcomemessage
0xA7CE4A89, unlockachievements
0xC1C245D0, createtext
0xA260245B, infiniteammo
0x9AF9E1F0, anoclipbind
0xBA6342C6, speedtoggle
0x421A4137, thirdpersontoggle
0x476715DC, invisibilitytoggle
0x40F540DF, endthegame
0x72D3B7CC, unfairaimbottoggle
0xFE5C4E1C, unfairaimbotfirethread
0xB1DE004C, aimbot_exclude
0x776A88FF, award_weapon
0x47B29EF0, forcehosttoggle
0x62DCA605, precacheperks
0x79E8AC0A, allmagicperkstoggle
0x56AE3E16, zombieperkstoggle
0x5D97C220, award_bgb
0x6C5DE92, givecamo
0xFAD262D5, isupgradedweapon
0xC2F273D0, toggleantiquit
0xF6097602, playlobbymusic
0x6F4878CB, playmusicsafe
0xAE7CC2A1, customplaystate
0x3E44DE79, dieonnewmus
0x3258C388, infiniteheropower
0xFA350F38, rocketbulletstoggle
0xC3694B41, shotgunguntoggle
0x5290B393, projectilesedit
0xA814719A, projectilefiremonitor
0xE287EC87, randomweapontarget
0x53F464C, clustergrenades
0x4896EDF7, grenadesplit
0x30D2FE9B, forgetoolinstructions
0x115BDE30, forgetool
0x8AF45A2E, cloner
0xEF145877, deleteafter30
0x46A6757A, killplayer
0xCC5AEE80, respawnplayer
0xF984694, kickwrapper
0x33BD0073, dropweaponwrapper
0x3291438, dropallweps
0x23C8253F, dropalltheweps
0xC447057, catalystantiend
0xFD37C61C, catalystantidown
0x7CB5A7E, catalystantideath
0xFD149446, teleportgun
0xD9195AD6, saveload
0x1E605AAE, getallspawnsfromzone
0x4D9F24E2, is_point_inside_zone
0x82A35C5B, aitoggle
0x2035FF0A, togglebhop
0x31B93BA6, bhop
0xC8B284A1, togglerapidfire
0x2D47077F, togglelowgrav
0xD462A9CF, killloop
0x3DDBE376, tripballs
0xB067DA8B, sfreezecontrols
0xD4D768FB, puppet
0x121BD8AB, lagswitch
0x2D6C7073, grenadeaimbot
0x1724A9AE, trackerv3
0x73648C22, projectileaimbot
0x7E44F47B, ptrackplayer
0xD4F84B69, setmaxrank
0x7EE6D5D3, resetpendingkeys
0x16F9C361, enablestats
0x692DF966, unlockall
0x166F59DB, giveallachievements
0x72BFA4A7, getmodecurrency
0xC13470F1, adjustcurrency
0x95E2112E, currencyloop
0x727C1768, giveloot
0x7D4B96D9, clantagmod
0x8CA34ABD, dounlocks
0xC7BBB4D8, playerrank
0x4DCB8EEB, adjustprestige
0x41A6A762, getmaxplayerrank
0x37B91D2C, getminplayerrank
0x1FDF8626, getplayercurrrank
0x278A6FD3, infinitepoweruptoggle
0xAEAA77FC, poweruptimeoverride
0x2DE79942, powerupbullets
0x62525726, awardaat
0xD91A0423, adjustrounds
0x2F99921A, roundnextvalidator
0x5129255, roundwaithook
0xE1C375D, roundnexthook
0xDE4C517D, get_roundnumber
0x4FD9A949, set_roundnumber
0x7935424D, collectparts
0xDD176681, openthedoors
0x37113E11, allpower
0x298122B3, allboxstates
0x2A41B6ED, adjustpoints
0x211907B3, perksdownedtoggle
0xCFD4A4DF, lostperkoverride
0x5C9267E, downplayer
0x7ECA4031, zm_reviveplayer
0x8B7C72AF, summonperks
0xC5866EA0, rainpowerups
0x867D1DD8, powerupdropthendelete
0xFF3E49BF, spawnzombiearray
0x429F2738, spawnzombie
0xAEEAF793, killallzombies
0xCC6C89CE, allzmtocrosshair
0x85A28AF8, allzmtome
0xF1B5F44D, togglezombspawns
0xAD0D7D93, zstack
0xF4150686, delinkzombsondeath
0xA9BF0E0, zcontrol
0xE0BBDAAC, togglezombiesupermelee
0x445B65D2, zknockback
0x63B0054C, togglezmexploders
0x6ED53CE5, togglezmspooky
0x36525321, zmexploder
0xFBDF61DB, zdonttouchme
0x41CD8FFC, zsp00ky
0x5ED5DA39, zrspook
0xDEE68522, toggleautores
0x1DD5AC71, getnormaltrace
0xAFD26F24, gettraceorigin
0x2CB32767, santize_camoname
0x383D01D5, true_one_arg
0x17977380, nullsub
0x50F16166, register
0x10777417, undefined
0xBEA63B8A, system
0xDDDA9606, compiler
0xC957F6B6, i
0x3947A807, row
0xC61B24C4, on_start_gametype
0xDABBE128, callback
0x356A4EE1, on_spawned
0xEB99DA89, on_connect
0xA7436A66, _camos_
0xD1439E4F, tablelookuprow
0x74486FFC, isdefined
0xB6B79A0, int
0xD4CC1345, tablelookup
0x300C5CE0, _cmusic
0xF32D7FD8, status_strings
0xBCD78736, 0bogsarraykeyscac589c5-6dc8-4568-8066-be3b4623585e
0x41DBEF2B, 0bogsindex60d9c16d-8a5f-4dd3-80cf-440d1d1daea9
0x7E8D0707, zone
0x217C06C1, spawns
0xE025DAA7, ishost
0x1970A3B3, self
0xC889160B, _teleto
0x391512DA, getarraykeys
0xC52C30FE, zones
0xA72D0823, perk_lost_func
0x28D0CA10, old_lost_perk
0x530F92DF, _zombie_custom_spawn_logic
0x6E2770D8, isarray
0x428A889F, endon
0x28E3E3FD, level
0xFAF8F736, freezecontrols
0x2921D92A, false
0x2FAE0A5E, notify
0x6B564FBA, player_intersection_tracker_override
